Date,Ticker,Trade Type,Shares Bought,Shares Sold,Price,RSI Value,Volume,Profit
2014-11-14,MSFT,9,0,274.0,49.71999931335449,72.0768215112547,29081700,1560.4293937683105
2014-11-14,PXD,0,78.0,0,168.20999908447266,41.39547108770604,2139900,0
2014-11-17,CSCO,9,0,503.0,26.274999618530273,76.45136219027813,33224000,910.4297313690186
2014-11-17,UHS,0,132.0,0,99.43000030517578,46.07827806422143,1241400,0
2015-01-09,GOOGL,0,0,22.0,503.625,33.04428402529885,2100000,-645.5900268554688
2015-01-09,VRTS,0,88.0,0,146.48999786376953,26.059243065601493,54500,0
2015-01-15,AMZN,0,0,39.0,291.4100036621094,34.11876993253951,4419200,-685.8146667480469
2015-01-15,JPM,0,225.0,0,55.55500030517578,26.556410167856754,42458100,0
2015-01-21,NEM,9,0,710.0,23.9350004196167,72.46374246757705,16960600,4078.9499187469482
2015-01-21,A,0,353.0,0,38.045000076293945,36.78438233071373,2721600,0
2015-01-22,IBM,9,0,77.0,153.73999786376953,44.70126039763725,6120100,-689.9205169677734
2015-01-22,BAC,0,817.0,0,15.8100004196167,41.96211426853036,183042100,0
2015-01-26,PXD,9,0,78.0,153.11499786376953,58.688781493867644,1476400,-1177.4100952148438
2015-01-26,XLNX,0,336.0,0,38.814998626708984,27.272632050339013,4156400,0
2015-01-30,QCOM,0,0,185.0,63.20000076293945,19.61313498772904,26407800,-1242.2743225097656
2015-01-30,MSFT,0,308.0,0,40.96500015258789,27.810215390849095,78004900,0
2015-03-03,UHS,9,0,132.0,113.05500030517578,63.61896152006802,572200,1798.5
2015-03-03,WEC,0,272.0,0,50.02000045776367,39.6635331482297,2462500,0
2015-03-20,VRTS,9,0,88.0,135.51000213623047,48.581954801457464,75600,-966.2396240234375
2015-03-20,INTC,0,423.0,0,31.27500057220459,38.650067613680804,64777100,0
2015-03-30,GL,9,0,237.0,54.994998931884766,59.09022583379525,560000,700.334981918335
2015-03-30,UNP,0,120.0,0,109.57999801635742,34.431374441592965,5191000,0
2015-04-14,AXP,9,0,133.0,79.43000030517578,47.03218712329727,4213200,-94.42987823486328
2015-04-16,JPM,9,0,225.0,63.96499824523926,67.31751920052338,16640500,1892.2495365142822
