Date,Open,High,Low,Close,Adj Close,Volume,Up Move,Down Move,Average Up,Average Down,Relative Strength,RSI
3/7/2017,237.3600006,237.7700043,236.7599945,237,218.3701172,65103700,0,0.710006714,0.515330119,0.289214282,1.781828045,64.05241503
3/8/2017,237.3399963,237.6399994,236.3999939,236.5599976,217.9647064,78168800,0,0.440002441,0.478520825,0.299984865,1.595149891,61.46658028
3/9/2017,236.6999969,237.2400055,235.7400055,236.8600006,218.2411041,90683900,0.300003052,0,0.465769556,0.278557375,1.672077632,62.57593761
3/10/2017,237.9700012,238.0200043,236.5899963,237.6900024,219.0058746,81991700,0.830001831,0,0.491786147,0.258660419,1.901281022,65.53246678
3/13/2017,237.6199951,237.8600006,237.2400055,237.8099976,219.1164551,57256800,0.119995117,0,0.465229645,0.240184675,1.936966395,65.95126176
3/14/2017,237.1799927,237.2400055,236.1900024,236.8999939,218.2779541,59880800,0,0.910003662,0.431998956,0.288028889,1.499845928,59.9975347
3/15/2017,237.5599976,239.4400024,237.2899933,238.9499969,220.1668549,96081800,2.050003052,0,0.547570677,0.267455397,2.047334561,67.18443676
3/16/2017,239.1100006,239.1999969,238.1000061,238.4799957,219.7337494,78344000,0,0.470001221,0.508458486,0.281922955,1.803537016,64.33077236
3/17/2017,237.75,237.9700012,237.0299988,237.0299988,219.3478699,89002100,0,1.449996948,0.472140022,0.365356812,1.292271026,56.37514113
3/20/2017,237.0299988,237.3600006,236.3200073,236.7700043,219.1072693,52537000,0,0.259994507,0.438415735,0.357830933,1.225203565,55.06029131
3/21/2017,237.4700012,237.6100006,233.5800018,233.7299957,216.2940216,131809300,0,3.040008545,0.407100325,0.549415048,0.740970468,42.5607718
3/22/2017,233.7700043,234.6100006,233.0500031,234.2799988,216.8030243,97569200,0.550003052,0,0.417307663,0.510171116,0.817975871,44.99376938
3/23/2017,234.2799988,235.3399963,233.6000061,234.0299988,216.57164,100410300,0,0.25,0.387499973,0.491587465,0.788262518,44.07979868
3/24/2017,234.3800049,235.0399933,232.9600067,233.8600006,216.4143219,112504900,0,0.169998169,0.359821403,0.468616801,0.767837181,43.4337047
3/27/2017,231.9299927,233.9199982,231.6100006,233.6199951,216.1922607,87454500,0,0.240005493,0.334119874,0.452287422,0.738733509,42.48687366
3/28/2017,233.2700043,235.8099976,233.1399994,235.3200073,217.7654572,93483900,1.700012207,0,0.431683613,0.419981177,1.027864189,50.68703293
3/29/2017,234.9900055,235.8099976,234.7299957,235.5399933,217.9690094,61950400,0.219985962,0,0.416562352,0.389982522,1.068156464,51.6477589
3/30/2017,235.4700012,236.5200043,235.2700043,236.2899933,218.6630859,56737900,0.75,0,0.440379327,0.362126628,1.216092088,54.8755214
3/31/2017,235.8999939,236.5099945,235.6799927,235.7400055,218.1541138,73733100,0,0.549987793,0.40892366,0.375545282,1.08887977,52.12745059
4/3/2017,235.8000031,236.0299988,233.9100037,235.3300018,217.774704,85546500,0,0.410003662,0.379714828,0.378006595,1.004519055,50.11272167
4/4/2017,235,235.5800018,234.5599976,235.4799957,217.9134979,56466200,0.149993896,0,0.36330619,0.351006124,1.035042311,50.86097253
4/5/2017,236.2599945,237.3899994,234.5399933,234.7799988,217.2657013,108800600,0,0.699996948,0.337355748,0.37593404,0.897380156,47.295749
4/6/2017,234.9400024,236.0399933,234.4299927,235.4400024,217.8764801,69135800,0.660003662,0,0.360402027,0.349081609,1.032429146,50.79779279
4/7/2017,235.1499939,236,234.6399994,235.1999969,217.6544189,74412300,0,0.240005493,0.334659025,0.341290457,0.980569535,49.50947279
4/10/2017,235.3600006,236.2599945,234.7299957,235.3399963,217.7839508,67615300,0.13999939,0,0.320754766,0.316912568,1.012123842,50.30126977
4/11/2017,234.8999939,235.1799927,233.3399963,235.0599976,217.5248108,88045300,0,0.279998779,0.297843711,0.314275868,0.947714224,48.65776572
